,Unnamed: 0.1_x,Unnamed: 0_x,Content ID,Type,Datetime,Unnamed: 0.1_y,Unnamed: 0_y,ContentType,Category
0,1,1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 09:43:50,0,0,photo,studying
1,2,2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51,0,0,photo,studying
2,3,3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 05:13:58,0,0,photo,studying
3,4,4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,0,0,photo,studying
4,5,5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58,0,0,photo,studying
5,6,6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 06:27:54,0,0,photo,studying
6,7,7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49,0,0,photo,studying
7,8,8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 08:32:09,0,0,photo,studying
8,9,9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23,0,0,photo,studying
9,11,11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 08:36:27,0,0,photo,studying
10,12,12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 06:28:53,0,0,photo,studying
11,13,13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 01:16:21,0,0,photo,studying
12,14,14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:08,0,0,photo,studying
13,15,15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:38,0,0,photo,studying
14,16,16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 05:09:23,0,0,photo,studying
15,17,17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 06:24:11,0,0,photo,studying
16,18,18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:57,0,0,photo,studying
17,19,19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:23,0,0,photo,studying
18,21,21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:23,0,0,photo,studying
19,22,22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:13,0,0,photo,studying
20,23,23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:06,0,0,photo,studying
21,24,24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59,0,0,photo,studying
22,25,25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:19,0,0,photo,studying
23,26,26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:39,0,0,photo,studying
24,27,27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:17,0,0,photo,studying
25,28,28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:42,0,0,photo,studying
26,29,29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 03:57:20,0,0,photo,studying
27,31,31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:12,0,0,photo,studying
28,32,32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:11,0,0,photo,studying
29,33,33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 03:21:13,0,0,photo,studying
30,34,34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24 11:03:43,0,0,photo,studying
31,35,35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 02:46:20,0,0,photo,studying
32,36,36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02 03:43:43,0,0,photo,studying
33,37,37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04 03:06:12,0,0,photo,studying
34,38,38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09 02:49:59,0,0,photo,studying
35,39,39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29 16:00:27,0,0,photo,studying
